  15.4  35 | conntrack v1.4.4 (conntrack-tools): 0 flow entries have been deleted.
  15.4 TEL | [59] exit 1 in 0.12 secs.
  15.5 TEL | Wait for vpn-tcp connection: hellotelepresence-12
  15.5 TEL | [60] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-12")'
  15.5  35 | c : DNS request from ('127.0.0.1', 37233) to None: 38 bytes
  20.5 TEL | [60] timed out after 5.01 secs.
  20.5 TEL | [61] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-12.a.sanity.check.telepresence.io")'
  20.5  35 | c : DNS request from ('127.0.0.1', 42826) to None: 69 bytes
  21.5 TEL | [61] timed out after 1.01 secs.
  21.6 TEL | Wait for vpn-tcp connection: hellotelepresence-13
  21.6 TEL | [62] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-13")'
  21.7  35 | c : DNS request from ('127.0.0.1', 44829) to None: 38 bytes
  22.7  27 | Listening...
  22.7  27 | 2019-08-06T15:48:57+0000 [-] Loading ./forwarder.py...
  22.7  27 | 2019-08-06T15:48:59+0000 [-] SOCKSv5Factory starting on 9050
  22.7  27 | 2019-08-06T15:48:59+0000 [socks.SOCKSv5Factory#info] Starting factory <socks.SOCKSv5Factory object at 0x7f9c86548668>
  22.7  27 | 2019-08-06T15:48:59+0000 [-] DNSDatagramProtocol starting on 9053
  22.7  27 | 2019-08-06T15:48:59+0000 [-] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c86548908>
  22.7  27 | 2019-08-06T15:48:59+0000 [-] Loaded.
  22.7  27 | 2019-08-06T15:48:59+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 19.2.1 (/usr/bin/python3.6 3.6.8) starting up.
  22.7  27 | 2019-08-06T15:48:59+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] reactor class: twisted.internet.epollreactor.EPollReactor.
  26.6 TEL | [62] timed out after 5.01 secs.
  26.6 TEL | [63] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-13.a.sanity.check.telepresence.io")'
  26.6  35 | c : DNS request from ('127.0.0.1', 36768) to None: 69 bytes
  26.6  27 | 2019-08-06T15:49:03+0000 [stdout#info] Sanity check: b'hellotelepresence-13.a.sanity.check.telepresence.io'
  26.7 TEL | [63] exit 1 in 0.12 secs.
  26.8 TEL | Wait for vpn-tcp connection: hellotelepresence-14
  26.8 TEL | [64] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-14")'
  26.9  35 | c : DNS request from ('127.0.0.1', 59419) to None: 38 bytes
  26.9  27 | 2019-08-06T15:49:03+0000 [stdout#info] Set DNS suffix we filter out to: [()]
  26.9  27 | 2019-08-06T15:49:03+0000 [stdout#info] Result for b'hellotelepresence-14' is ['127.0.0.1']
  27.0 TEL | [64] captured in 0.17 secs.
  27.0 TEL | Resolved hellotelepresence-14. 2 more...
  27.0 TEL | [65] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-14.a.sanity.check.telepresence.io")'
  27.1  35 | c : DNS request from ('127.0.0.1', 58723) to None: 69 bytes
  27.1  27 | 2019-08-06T15:49:03+0000 [stdout#info] Sanity check: b'hellotelepresence-14.a.sanity.check.telepresence.io'
  27.2 TEL | [65] exit 1 in 0.17 secs.
  27.3 TEL | Wait for vpn-tcp connection: hellotelepresence-15
  27.3 TEL | [66] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-15")'
  27.3  35 | c : DNS request from ('127.0.0.1', 58234) to None: 38 bytes
  27.3  27 | 2019-08-06T15:49:04+0000 [stdout#info] Result for b'hellotelepresence-15' is ['127.0.0.1']
  27.3 TEL | [66] captured in 0.07 secs.
  27.3 TEL | Resolved hellotelepresence-15. 1 more...
  27.3 TEL | [67] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-15.a.sanity.check.telepresence.io")'
  27.4  35 | c : DNS request from ('127.0.0.1', 49318) to None: 69 bytes
  27.4  27 | 2019-08-06T15:49:04+0000 [stdout#info] Sanity check: b'hellotelepresence-15.a.sanity.check.telepresence.io'
  27.5 TEL | [67] exit 1 in 0.12 secs.
  27.6 TEL | Wait for vpn-tcp connection: hellotelepresence-16
  27.6 TEL | [68] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-16")'
  27.6  35 | c : DNS request from ('127.0.0.1', 34722) to None: 38 bytes
  27.6  27 | 2019-08-06T15:49:04+0000 [stdout#info] Result for b'hellotelepresence-16' is ['127.0.0.1']
  27.7 TEL | [68] captured in 0.12 secs.
  27.7 TEL | Resolved hellotelepresence-16. 0 more...
  27.7 TEL | END SPAN vpn.py:287(connect_sshuttle,sshuttle-wait)   16.3s
  27.7 TEL | END SPAN vpn.py:264(connect_sshuttle)   16.3s
  27.7 >>> | Setup complete. Launching your command.
  27.7 TEL | Everything launched. Waiting to exit...
  27.7 TEL | BEGIN SPAN runner.py:682(wait_for_exit)
  28.3  35 | c : DNS request from ('127.0.0.1', 57300) to None: 49 bytes
  28.3  35 | c : DNS request from ('127.0.0.1', 57300) to None: 49 bytes
  28.3  27 | 2019-08-06T15:49:05+0000 [stdout#info] A query: b'browser.pipe.aria.microsoft.com'
  28.3  27 | 2019-08-06T15:49:05+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 59555
  28.3  27 | 2019-08-06T15:49:05+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c865593c8>
  28.4  27 | 2019-08-06T15:49:05+0000 [stdout#info] AAAA query, sending back A instead: b'browser.pipe.aria.microsoft.com'
  28.4  27 | 2019-08-06T15:49:05+0000 [stdout#info] A query: b'browser.pipe.aria.microsoft.com'
  28.4  27 | 2019-08-06T15:49:05+0000 [-] (UDP Port 59555 Closed)
  28.4  27 | 2019-08-06T15:49:05+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c865593c8>
  30.2 TEL | [69] Running: sudo -n echo -n
  30.2 TEL | [69] ran in 0.01 secs.
  50.2  35 | c : DNS request from ('127.0.0.1', 49884) to None: 43 bytes
  50.2  35 | c : DNS request from ('127.0.0.1', 49884) to None: 43 bytes
  50.3  27 | 2019-08-06T15:49:27+0000 [stdout#info] A query: b'vortex.data.microsoft.com'
  50.3  27 | 2019-08-06T15:49:27+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 17988
  50.3  27 | 2019-08-06T15:49:27+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c86559518>
  50.3  27 | 2019-08-06T15:49:27+0000 [stdout#info] AAAA query, sending back A instead: b'vortex.data.microsoft.com'
  50.3  27 | 2019-08-06T15:49:27+0000 [stdout#info] A query: b'vortex.data.microsoft.com'
  50.4  27 | 2019-08-06T15:49:27+0000 [-] (UDP Port 17988 Closed)
  50.4  27 | 2019-08-06T15:49:27+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c86559518>
  53.2 TEL | (proxy checking local liveness)
  53.2  27 | 2019-08-06T15:49:30+0000 [Poll#info] Checkpoint
  60.3 TEL | [70] Running: sudo -n echo -n
  60.3 TEL | [70] ran in 0.01 secs.
  82.8 TEL | (proxy checking local liveness)
  82.8  27 | 2019-08-06T15:49:59+0000 [Poll#info] Checkpoint
  90.3 TEL | [71] Running: sudo -n echo -n
  90.3 TEL | [71] ran in 0.02 secs.
 108.1  35 | c : DNS request from ('127.0.0.1', 59393) to None: 36 bytes
 108.1  35 | c : DNS request from ('127.0.0.1', 59393) to None: 36 bytes
 108.1  27 | 2019-08-06T15:50:24+0000 [stdout#info] A query: b'client.dropbox.com'
 108.1  27 | 2019-08-06T15:50:24+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 13305
 108.1  27 | 2019-08-06T15:50:24+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864b57f0>
 108.1  27 | 2019-08-06T15:50:24+0000 [stdout#info] AAAA query, sending back A instead: b'client.dropbox.com'
 108.1  27 | 2019-08-06T15:50:24+0000 [stdout#info] A query: b'client.dropbox.com'
 108.2  27 | 2019-08-06T15:50:25+0000 [-] (UDP Port 13305 Closed)
 108.2  27 | 2019-08-06T15:50:25+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864b57f0>
 108.8  35 | c : DNS request from ('127.0.0.1', 38887) to None: 34 bytes
 108.8  35 | c : DNS request from ('127.0.0.1', 38887) to None: 34 bytes
 108.8  27 | 2019-08-06T15:50:25+0000 [stdout#info] A query: b'bolt.dropbox.com'
 108.9  27 | 2019-08-06T15:50:25+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 3932
 108.9  27 | 2019-08-06T15:50:25+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864b5d68>
 108.9  27 | 2019-08-06T15:50:25+0000 [stdout#info] AAAA query, sending back A instead: b'bolt.dropbox.com'
 108.9  27 | 2019-08-06T15:50:25+0000 [stdout#info] A query: b'bolt.dropbox.com'
 108.9  27 | 2019-08-06T15:50:25+0000 [-] (UDP Port 3932 Closed)
 108.9  35 | c : DNS request from ('127.0.0.1', 38919) to None: 34 bytes
